algo,percent_wins_algo,pimc_num_simulations
pimc_1_1,65.0,1
pimc_0.04_25,80.0,25
pimc_0.02_50,77.0,50
pimc_0.01333_75,88.0,75
pimc_0.01_100,79.0,100
pimc_0.008_125,77.0,125
pimc_0.00666_150,71.0,150
pimc_0.00571_175,77.0,175
pimc_0.005_200,73.0,200
pimc_0.00444_225,80.0,225
pimc_0.004_250,76.0,250
pimc_0.00363_275,68.0,275
pimc_0.00333_300,64.0,300
pimc_0.00307_325,69.0,325
pimc_0.00285_350,66.0,350
pimc_0.00266_375,72.0,375
pimc_0.0025_400,65.0,400
pimc_0.00235_425,72.0,425
pimc_0.00222_450,74.0,450
pimc_0.0021_475,66.0,475
pimc_0.00200_500,72.0,500
