algo,percent_wins_algo,pimc_num_simulations
pimc_1_1,10.0,1
pimc_0.04_25,8.0,25
pimc_0.02_50,5.0,50
pimc_0.01333_75,5.0,75
pimc_0.01_100,5.0,100
pimc_0.008_125,4.0,125
pimc_0.00666_150,5.0,150
pimc_0.00571_175,6.0,175
pimc_0.005_200,8.0,200
pimc_0.00444_225,6.0,225
pimc_0.004_250,6.0,250
pimc_0.00363_275,5.0,275
pimc_0.00333_300,7.0,300
pimc_0.00307_325,5.0,325
pimc_0.00285_350,7.0,350
pimc_0.00266_375,4.0,375
pimc_0.0025_400,9.0,400
pimc_0.00235_425,3.0,425
pimc_0.00222_450,3.0,450
pimc_0.0021_475,3.0,475
pimc_0.00200_500,5.0,500
pimc_0.00100_1000,5.0,1000
pimc_0.00067_1500,3.0,1500
pimc_0.00050_2000,1.0,2000
pimc_0.00040_2500,5.0,2500
pimc_0.00033_3000,6.0,3000
pimc_0.00029_3500,5.0,3500
pimc_0.00025_4000,5.0,4000
pimc_0.00022_4500,5.0,4500
pimc_0.00020_5000,1.0,5000
pimc_0.00018_5500,1.0,5500
pimc_0.00017_6000,2.0,6000
pimc_0.00015_6500,6.0,6500
pimc_0.00014_7000,1.0,7000
pimc_0.00013_7500,5.0,7500
pimc_0.00013_8000,2.0,8000
pimc_0.00011_9000,4.0,9000
pimc_0.00011_9500,4.0,9500
pimc_0.00010_10000,2.0,10000
